"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0173794601","MEDLINE INDUSTRIES INC","23.48","2021-07-17","000053940401","","DPH Public Health"
"0183316601","SIEMENS INDUSTRY INC","895","2021-10-07","000053940901","","WAR War Memorial"
"0182717601","BlueTriton Brands Inc","320.37","2021-10-01","000053941101","1000013890","DPH Public Health"
"0207412401","BlueTriton Brands Inc","248.69","2022-05-24","000053941101","1000013890","DPH Public Health"
"0202106401","TK ELEVATOR CORPORATION","1422.9","2022-03-15","000053941301","","WAR War Memorial"
"0199413101","Ashley's Cafe","1200","2022-03-03","000053941601","","MTA Municipal Transprtn Agncy"
"0208837001","UNITED CALIFORNIA GLASS & DOOR","1082","2022-05-09","000053941801","","WAR War Memorial"
"0200501201","GLOBAL ACCESS SUPPLY INC","6850.25","2022-03-02","000053941901","1000019705","AIR Airport Commission"
"0179748801","LANGUAGELINE SOLUTIONS","595.14","2021-09-17","000053942001","1000011149","MTA Municipal Transprtn Agncy"
"0193350901","LANGUAGELINE SOLUTIONS","759.6","2022-01-18","000053942001","1000011149","MTA Municipal Transprtn Agncy"
"0204928601","LANGUAGELINE SOLUTIONS","2326.65","2022-05-02","000053942001","1000011149","MTA Municipal Transprtn Agncy"
"0202680701","NEPC LLC","271245","2022-03-18","000053942201","1000007645","RET Retirement System"
"0175349701","GRAINGER","26.8","2021-07-29","000053943001","1000018631","DPW Public Works"
